η,key_rate,Tg,Tg_,α1,ϕ_α1,α2,ϕ_α2,β1,ϕ_β1,β2,ϕ_β2,β3,ϕ_β3,q
1.0,0.2521017023026487,0.863607269410801,0.7193324804454223,-0.0008838615882104175,0.1019823944070563,0.5280649258757873,0.06295217965408792,1.8280029706516256,0.06302344683346643,1.3083537941496848,0.06292672510003709,0.000771278352433006,3.2488106544091195,2.746426160904441e-11
0.999,0.24353519762576725,0.8499103117392215,0.7200383196872794,-0.022016022765001298,-0.003593755196805896,0.5119992940619157,0.02199745268711873,1.8108653900320881,0.023403164761889833,1.2828610345616558,0.019701119211253355,0.021655916931009773,3.137765814976421,8.816973555663386e-6
0.998,0.23605604884091447,0.8371977136765727,0.7210414558866761,-0.025022619987123823,0.004171520763327994,0.5160098795042387,0.023934498483402167,1.8120008692347056,0.02532915049705998,1.2761470118165699,0.022083426481419376,0.0246373233730204,3.1457742363275822,2.7462422049914147e-5
0.997,0.22905868851273448,0.8255325185918758,0.7218672069794039,-0.023194384620415263,0.00961920901904427,0.5245613018910281,0.030667796753265808,1.817663279556425,0.03182850316871325,1.274735131811667,0.028711341906587765,0.02288760425066495,3.1511758482974317,5.3578535831592774e-5
0.996,0.2224055774453222,0.8133754435526699,0.7228628118521304,-0.03123458389207228,0.03883008491770148,0.5231676524657778,0.01868226080144604,1.8135811144688898,0.017026539656663214,1.2630053789464593,0.021111782146617415,0.030843494638572583,3.180455270724449,8.898906067174085e-5
0.995,0.2160189900897893,0.8022450133067833,0.7236406048594952,-0.02968947325283214,0.0396136941677662,0.5311963924453798,0.025096160938604475,1.8187674556013882,0.024071091744462116,1.2613612950498494,0.026777689595397475,0.029369182590016335,3.1813450861573536,0.00013359257489452825
0.994,0.209860641991941,0.7910018315301492,0.7244173346525185,-0.028856567900928626,0.0539326737239017,0.5383592657199099,0.02852771258262798,1.8232925977709273,0.026717733353173612,1.2589046793283392,0.031195837322143684,0.028557299415472814,3.1951701715241345,0.0001861584767215741
0.993,0.20390351768989157,0.780202591568688,0.7251398537895554,-0.02754266126618644,0.06449874394845592,0.5459238396181452,0.029292265673169334,1.8280879735330686,0.026968685365994206,1.2570352809788023,0.03280456192753861,0.02735187734355252,3.2059224017459216,0.00024722066308357577
0.992,0.19812886867682689,0.7692801511844269,0.7258285328378737,-0.026075916150892376,0.05041399733907661,0.5534791856860961,0.047555182819377276,1.8330629160984615,0.047479936662719824,1.2552518675443178,0.04783183703632472,0.02589547782998337,3.192570564336325,0.000316948250328008
0.991,0.19252276550465797,0.7586877305854348,0.7265130527571627,-0.025125632567323235,0.059361737223653455,0.5605581275291087,0.05113312332005251,1.8374994985936572,0.050485647549616035,1.253155373043661,0.05211617105293209,0.025002081103128893,3.2002111790415824,0.00039311547746694487
